jira,JIRA,jira-software
jhipster,JHipster,
xmind,XMind,
gpao,GPAO,
panda-cloud-antivirus,Panda Cloud Antivirus,panda
norton-security,Norton Security,norton
natural-language-processing-nlp,Natural Language Processing (NLP),"nlp, natural-language-processing"
responsabilite-societale-des-entreprises-rse,Responsabilité Sociétale des Entreprises (RSE),rse
kicad,KiCad,
bert,BERT,
suricata,Suricata,
haproxy,HAProxy,
openldap,OpenLDAP,
nutanix,Nutanix,
mockito,Mockito,
simulink,Simulink,matlab-simulink
adobe-premiere-pro,Adobe Premiere Pro,"premier-pro, premiere, premiere-pro, adobe-premiere"
fortran,Fortran,
gpec,GPEC,
sap-r,SAP R/3,
ebios-rm,EBIOS RM,ebios
diagramme-dishikawa,Diagramme d'Ishikawa,ishikawa
pdca-plan-do-check-act,PDCA (Plan Do Check Act),pdca
visual-c,Visual C++,
microsoft-lync,Microsoft Lync,lync
openoffice,OpenOffice,open-office
bmc-remedy,BMC Remedy,
dameware,Dameware,
angular-material,Angular Material,
sms,SMS,
apache-hive,Apache Hive,hive
databricks,Databricks,
influxdb,InfluxDB,
virtual-machine,Virtual machine,vm
nessus,Nessus,
ubiquiti,Ubiquiti,
vpn-ipsec,VPN IPsec,
gateway-load-balancing-protocol-glbp,Gateway Load Balancing Protocol (GLBP),glbp
virtual-router-redundancy-protocol-vrrp,Virtual Router Redundancy Protocol (VRRP),vrrp
lacp-link-aggregation-control-protocol,LACP (Link Aggregation Control Protocol),lacp
cross-site-scripting-xss,Cross-site scripting (XSS),xss
kali-linux,Kali Linux,kali
wsdl-web-services-description-language,WSDL (Web Services Description Language),wsdl
squid,Squid,
ebp,EBP,
spring-mvc,Spring MVC,
pyspark,PySpark,
stm32,Stm32,stm-3-2
https,HTTPS,
apache,Apache,
recherche-v,RECHERCHEV,
google-sheets,Google Sheets,
crontab,Crontab,cron
seven,Seven,
dash,Dash,
reverse-proxy,Reverse proxy,proxy-inverse
x-langage,X++ (langage),x
mqtt-message-queuing-telemetry-transport,MQTT (Message Queuing Telemetry Transport),mqtt
acronis,Acronis,
sophos,Sophos,
jupyter-notebook,Jupyter Notebook,"jupiter, jupyter, notebook"
lisp,Lisp,
electronic-design-automation-eda,Electronic Design Automation (EDA),eda
rational-rose,Rational Rose,
crystal-reports,Crystal Reports,crystal-report
selenium-webdriver,Selenium WebDriver,
selenium-ide,Selenium IDE,
object-relational-mapping-orm,Object-Relational Mapping (ORM),orm
asset-center,Asset Center,
eset,Eset,
adfs,ADFS,
veeam-backup-replication,Veeam Backup & Replication,veeam-backup
vpc-virtual-private-cloud,VPC (Virtual Private Cloud),vpc
hpe,HPE,
iscsi,iSCSI,
sphinx,Sphinx,
final-cut-pro,Final Cut Pro,
istqb,ISTQB,
squash-tm,Squash TM,
entity-framework,Entity Framework,
windows-forms,Windows Forms,"winforms, winform"
audacity,Audacity,
solidity,Solidity,
business-process-model-and-notation-bpmn,Business Process Model and Notation (BPMN),bpmn
electron,Electron,
lumen,Lumen,
wlangage,WLangage,
microsoft-power-bi,Microsoft Power BI,"powerbi, power-bi"
cvs-concurrent-versions-system,CVS (Concurrent Versions System),cvs
oracle-sql-developer,Oracle SQL Developer,"sql-oracle, oracle-sql, sql-developer, sql-developper"
power-query,Power Query,
gpu,GPU,
cpu,CPU,
rtp,RTP,
syslog,Syslog,
landesk,LANDesk,
openssl,OpenSSL,
cubase,Cubase,
routing-switching-rs,Routing & Switching (R&S),"routing-switching, switching"
domino,Domino,
net-framework,.NET Framework,
asp-net-core,ASP.NET Core,
visualforce,Visualforce,
klaxoon,Klaxoon,
azure-active-directory,Azure Active Directory,azure-ad
cloud-prive,Cloud privé,
owasp,OWASP,
antivirus,Antivirus,anti-virus
microsoft-teams,Microsoft Teams,"ms-teams, teams"
lua,Lua,
create-read-update-delete-crud,Create Read Update Delete (CRUD),crud
julia,Julia,
lunix,LUnix,
as-400,AS/400,"as400, as-4-0-0"
interface-homme-machine-ihm,Interface Homme-Machine (IHM),ihm
codename-one,Codename One,codenameone
google-data-studio,Google Data Studio,data-studio
alteryx,Alteryx,
atoll,Atoll,
address-resolution-protocol-arp,Address Resolution Protocol (ARP),arp
ss7,SS7,
lte,LTE,
salesforce-sales-cloud,Salesforce Sales Cloud,"crm-salesforce, sales-cloud, salesforce"
reseau-telephonique-commute-rtc,Réseau téléphonique commuté (RTC),rtc
3g,3G,
octave,Octave,
ovhcloud,OVHcloud,ovh
site-web,Site web,
cucumber,Cucumber ,
devexpress,DevExpress,
web-api,Web API,
cassandra,Cassandra,
apache-spark,Apache Spark,spark
google-earth,Google Earth,
mapinfo,MapInfo,
google-workspace,Google Workspace,"suite-google, google-suite, g-suite"
twitter,Twitter,
bluetooth,Bluetooth,
google-maps,Google Maps,
iso-27001,ISO 27001,iso-2-7-0-0-1
5s,5S,
dmaic,DMAIC,
apache-tomcat,Apache Tomcat,tomcat
servlet,Servlet,servlets
spacy,SpaCy,
robot-framework,Robot Framework,
xivo,XiVO,
plm-product-lifecycle-management,PLM (Product Lifecycle Management),plm
hdfs-hadoop-distributed-file-system,HDFS (Hadoop Distributed File System),hdfs
ibm-datastage,IBM DataStage,datastage
google-drive,Google Drive,
dbeaver,DBeaver,
modele-conceptuel-des-donnees-mcd,Modèle Conceptuel des Données (MCD),mcd
entreprise-application-integration-eai,Enterprise Application Integration (EAI),eai
logstash,Logstash,
power-bi-desktop,Power BI Desktop,
snowflake,Snowflake,
hp-quality-center,HP Quality Center,"hp-qc, quality-center"
soapui,SoapUI,soap-ui
odi-oracle-data-integrator,ODI Oracle Data Integrator,odi
workflow,Workflow,
generalized-linear-model,Generalized linear model,glm
dbscan,DBSCAN,
clustering,Clustering,cluster
shiny,Shiny,"r-shiny, rshiny"
dplyr,dplyr,
eviews,EViews,
stata,Stata,
system-center-operations-manager-scom,System Center Operations Manager (SCOM),scom
simple-directmedia-layer-sdl,Simple DirectMedia Layer (SDL),sdl
instagram,Instagram,
facebook,Facebook,
wix,Wix,
fme,FME,
prolog,Prolog,
snort,Snort,
proxy,Proxy,
full-stack,Full stack,fullstack
tva,TVA,
tresorerie,Trésorerie,
tableau-de-bord,Tableau de bord,
power-pivot,Power Pivot,
fpga-field-programmable-gate-array,FPGA (Field-Programmable Gate Array),fpga
modelsim,ModelSim,
